pub_year,country_code,cpc_broad_class,patent_count
1916,US,Mining related,273
1917,AT,Agriculture related,1
1917,CH,Agriculture related,1
1917,DE,Agriculture related,25
1917,DE,Data process related,4
1917,DE,Mining related,1
1917,DK,Agriculture related,1
1917,FI,Data process related,1
1917,FR,Agriculture related,105
1917,FR,Data process related,28
1917,FR,Mining related,2
1917,GB,Agriculture related,156
1917,GB,Data process related,88
1917,GB,Mining related,34
1917,NL,Agriculture related,9
1917,NL,Mining related,1
1917,US,Agriculture related,1875
1917,US,Data process related,603
1917,US,Mining related,226
1918,AT,Data process related,1
1918,CH,Agriculture related,2
1918,CH,Mining related,1
1918,DE,Agriculture related,31
1918,DE,Data process related,4
1918,DE,Mining related,1
1918,DK,Agriculture related,1
1918,FR,Agriculture related,81
1918,FR,Data process related,34
1918,FR,Mining related,6
1918,GB,Agriculture related,190
1918,GB,Data process related,83
1918,GB,Mining related,42
1918,NL,Agriculture related,1
1918,US,Agriculture related,1723
1918,US,Data process related,534
1918,US,Mining related,225
1919,AT,Agriculture related,5
1919,CH,Agriculture related,1
1919,DE,Agriculture related,27
1919,DE,Data process related,5
1919,DE,Mining related,1
1919,FI,Data process related,1
1919,FR,Agriculture related,166
1919,FR,Data process related,76
1919,FR,Mining related,23
1919,GB,Agriculture related,226
1919,GB,Data process related,123
1919,GB,Mining related,36
1919,NL,Agriculture related,9
1919,SE,Agriculture related,1
1919,US,Agriculture related,1417
1919,US,Data process related,522
1919,US,Mining related,207
1920,AT,Agriculture related,1
1920,CH,Agriculture related,108
1920,CH,Data process related,33
1920,CH,Mining related,4
1920,DE,Agriculture related,301
1920,DE,Data process related,152
1920,DE,Mining related,88
1920,DK,Agriculture related,3
1920,FR,Agriculture related,259
1920,FR,Data process related,161
1920,FR,Mining related,29
1920,GB,Agriculture related,296
1920,GB,Data process related,168
1920,GB,Mining related,40
1920,NL,Agriculture related,1
1920,SE,Agriculture related,41
1920,SE,Mining related,3
1920,US,Agriculture related,1554
1920,US,Data process related,409
1920,US,Mining related,266
1921,AT,Agriculture related,3
1921,AT,Data process related,1
1921,CA,Agriculture related,1
1921,CH,Agriculture related,85
1921,CH,Data process related,47
1921,CH,Mining related,5
1921,DE,Agriculture related,296
1921,DE,Data process related,209
1921,DE,Mining related,114
1921,DK,Data process related,1
1921,FR,Agriculture related,431
1921,FR,Data process related,261
1921,FR,Mining related,69
1921,GB,Agriculture related,328
1921,GB,Data process related,268
1921,GB,Mining related,87
1921,NL,Agriculture related,1
1921,NL,Mining related,1
1921,US,Agriculture related,1451
1921,US,Data process related,541
1921,US,Mining related,355
1922,AT,Agriculture related,2
1922,AT,Data process related,4
1922,AT,Mining related,2
1922,CH,Agriculture related,87
1922,CH,Data process related,43
1922,CH,Mining related,14
1922,DE,Agriculture related,452
1922,DE,Data process related,346
1922,DE,Mining related,213
1922,DK,Data process related,1
1922,DK,Mining related,1
1922,FR,Agriculture related,455
1922,FR,Data process related,237
1922,FR,Mining related,55
1922,GB,Agriculture related,384
1922,GB,Data process related,283
1922,GB,Mining related,86
1922,NL,Agriculture related,1
1922,US,Agriculture related,1358
1922,US,Data process related,644
1922,US,Mining related,349
1923,AT,Data process related,2
1923,AT,Mining related,1
1923,CA,Agriculture related,1
1923,CH,Agriculture related,120
1923,CH,Data process related,85
1923,DE,Agriculture related,506
1923,DE,Data process related,386
1923,DE,Mining related,229
1923,FR,Agriculture related,441
1923,FR,Data process related,242
1923,FR,Mining related,46
1923,GB,Agriculture related,381
1923,GB,Data process related,257
1923,GB,Mining related,102
1923,NL,Agriculture related,1
1923,NL,Data process related,1
1923,SE,Mining related,1
1923,US,Agriculture related,1516
1923,US,Data process related,558
1923,US,Mining related,390
1924,AT,Agriculture related,1
1924,AT,Data process related,1
1924,CH,Agriculture related,86
1924,CH,Data process related,50
1924,CH,Mining related,5
1924,DE,Agriculture related,546
1924,DE,Data process related,330
1924,DE,Mining related,172
1924,DK,Data process related,2
1924,FR,Agriculture related,524
1924,FR,Data process related,253
1924,FR,Mining related,66
1924,GB,Agriculture related,377
1924,GB,Data process related,227
1924,GB,Mining related,109
1924,US,Agriculture related,1534
1924,US,Data process related,586
1924,US,Mining related,580
1925,AT,Agriculture related,4
1925,AT,Data process related,4
1925,BE,Agriculture related,4
1925,CA,Agriculture related,1
1925,CH,Agriculture related,93
1925,CH,Data process related,58
1925,CH,Mining related,8
1925,DE,Agriculture related,503
1925,DE,Data process related,253
1925,DE,Mining related,91
1925,DK,Agriculture related,1
1925,DK,Data process related,4
1925,FR,Agriculture related,405
1925,FR,Data process related,199
1925,FR,Mining related,48
1925,GB,Agriculture related,299
1925,GB,Data process related,236
1925,GB,Mining related,113
1925,NL,Agriculture related,2
1925,NL,Data process related,2
1925,US,Agriculture related,1673
1925,US,Data process related,543
1925,US,Mining related,606
1926,AT,Agriculture related,6
1926,AT,Data process related,2
1926,AT,Mining related,1
1926,BE,Agriculture related,13
1926,BE,Data process related,3
1926,BE,Mining related,3
1926,CH,Agriculture related,101
1926,CH,Data process related,37
1926,CH,Mining related,2
1926,DE,Agriculture related,491
1926,DE,Data process related,222
1926,DE,Mining related,94
1926,DK,Agriculture related,2
1926,DK,Data process related,1
1926,FR,Agriculture related,427
1926,FR,Data process related,195
1926,FR,Mining related,41
1926,GB,Agriculture related,271
1926,GB,Data process related,225
1926,GB,Mining related,106
1926,NL,Agriculture related,3
1926,NL,Data process related,2
1926,SE,Agriculture related,1
1926,US,Agriculture related,1478
1926,US,Data process related,548
1926,US,Mining related,595
1927,AT,Agriculture related,1
1927,AT,Data process related,2
1927,AT,Mining related,1
1927,BE,Agriculture related,8
1927,BE,Data process related,2
1927,CH,Agriculture related,86
1927,CH,Data process related,45
1927,CH,Mining related,1
1927,DE,Agriculture related,358
1927,DE,Data process related,190
1927,DE,Mining related,127
1927,FR,Agriculture related,479
1927,FR,Data process related,189
1927,FR,Mining related,51
1927,GB,Agriculture related,288
1927,GB,Data process related,248
1927,GB,Mining related,115
1927,SE,Agriculture related,2
1927,US,Agriculture related,1419
1927,US,Data process related,471
1927,US,Mining related,589
1928,AT,Data process related,1
1928,BE,Agriculture related,24
1928,BE,Data process related,7
1928,BE,Mining related,3
1928,CA,Agriculture related,1
1928,CH,Agriculture related,109
1928,CH,Data process related,56
1928,CH,Mining related,1
1928,DE,Agriculture related,343
1928,DE,Data process related,194
1928,DE,Mining related,83
1928,FI,Agriculture related,1
1928,FR,Agriculture related,517
1928,FR,Data process related,202
1928,FR,Mining related,44
1928,GB,Agriculture related,282
1928,GB,Data process related,271
1928,GB,Mining related,110
1928,NL,Data process related,1
1928,SE,Agriculture related,1
1928,US,Agriculture related,1047
1928,US,Data process related,441
1928,US,Mining related,562
1929,AT,Agriculture related,1
1929,BE,Agriculture related,18
1929,BE,Data process related,10
1929,CH,Agriculture related,76
1929,CH,Data process related,67
1929,CH,Mining related,2
1929,DE,Agriculture related,461
1929,DE,Data process related,215
1929,DE,Mining related,131
1929,DK,Agriculture related,2
1929,FR,Agriculture related,654
1929,FR,Data process related,346
1929,FR,Mining related,72
1929,GB,Agriculture related,330
1929,GB,Data process related,354
1929,GB,Mining related,97
1929,NL,Agriculture related,1
1929,NL,Data process related,3
1929,NL,Mining related,1
1929,SE,Agriculture related,1
1929,US,Agriculture related,1307
1929,US,Data process related,505
1929,US,Mining related,560
1930,AT,Agriculture related,3
1930,AT,Mining related,1
1930,AU,Agriculture related,1
1930,BE,Agriculture related,15
1930,BE,Data process related,7
1930,BE,Mining related,2
1930,CA,Agriculture related,2
1930,CH,Agriculture related,89
1930,CH,Data process related,70
1930,CH,Mining related,5
1930,DE,Agriculture related,591
1930,DE,Data process related,351
1930,DE,Mining related,278
1930,DK,Agriculture related,5
1930,ES,Agriculture related,2
1930,ES,Data process related,7
1930,FR,Agriculture related,636
1930,FR,Data process related,517
1930,FR,Mining related,44
1930,GB,Agriculture related,332
1930,GB,Data process related,502
1930,GB,Mining related,119
1930,NL,Mining related,2
1930,SE,Agriculture related,39
1930,US,Agriculture related,1307
1930,US,Data process related,591
1930,US,Mining related,629
1931,AT,Agriculture related,5
1931,AT,Data process related,11
1931,AU,Agriculture related,1
1931,BE,Agriculture related,23
1931,BE,Data process related,7
1931,BE,Mining related,4
1931,CH,Agriculture related,97
1931,CH,Data process related,68
1931,CH,Mining related,1
1931,DE,Agriculture related,568
1931,DE,Data process related,425
1931,DE,Mining related,228
1931,DK,Agriculture related,2
1931,DK,Data process related,3
1931,ES,Agriculture related,2
1931,FR,Agriculture related,510
1931,FR,Data process related,454
1931,FR,Mining related,65
1931,GB,Agriculture related,366
1931,GB,Data process related,529
1931,GB,Mining related,144
1931,NL,Agriculture related,2
